birdID,species,bandNumber,colorComboL,colorComboR
1272-43055,AMRO,1272-43055,M,XG
1272-43056,AMRO,1272-43056,R,YX
1272-43057,AMRO,1272-43057,G,YX
1272-43058,AMRO,1272-43058,RX,B
1272-43059,AMRO,1272-43059,RY,X
1272-43060,AMRO,1272-43060,XO,B
1272-43061,AMRO,1272-43061,K,KX
1272-43062,AMRO,1272-43062,B,WX
1272-43063,AMRO,1272-43063,X,RM
1272-43064,AMRO,1272-43064,M,XW
1272-43065,AMRO,1272-43065,RX,G
1272-43066,AMRO,1272-43066,OO,X
1272-43067,AMRO,1272-43067,R,XG
1272-43068,AMRO,1272-43068,RX,G
1272-43069,AMRO,1272-43069,YX,K
1272-43071,AMRO,1272-43071,W,XO
1272-43072,AMRO,1272-43072,XM,Y
1272-43073,AMRO,1272-43073,XK,K
1272-43074,AMRO,1272-43074,GX,R
1272-43075,AMRO,1272-43075,MW,X
1272-43076,AMRO,1272-43076,R,XB
1272-43077,AMRO,1272-43077,XW,G
1272-43078,AMRO,1272-43078,MR,X
1272-43079,AMRO,1272-43079,XK,W
1272-43080,AMRO,1272-43080,XM,K
1272-43081,AMRO,1272-43081,MX,G
1272-43082,AMRO,1272-43082,B,X
1272-43083,AMRO,1272-43083,O,XY
1272-43084,AMRO,1272-43084,WK,X
1272-43085,AMRO,1272-43085,R,XO
1272-43086,AMRO,1272-43086,G,KX
1272-43091,AMRO,1272-43091,RB,X
1272-43092,AMRO,1272-43092,RX,G
1272-43093,AMRO,1272-43093,O,XY
1272-43094,AMRO,1272-43094,R,OX
1272-43095,AMRO,1272-43095,OY,X
1272-43096,AMRO,1272-43096,R,XR
1272-43098,AMRO,1272-43098,X,KB
1272-43099,AMRO,1272-43099,XG,K
1272-43101,AMRO,1272-43101,X,PM
1272-43102,AMRO,1272-43102,O,KX
1272-43103,AMRO,1272-43103,R,WX
1272-43104,AMRO,1272-43104,B,XO
1272-43105,AMRO,1272-43105,O,XK
1272-43106,AMRO,1272-43106,M,BX
1272-43107,AMRO,1272-43107,K,MX
1272-43109,AMRO,1272-43109,MX,M
1272-43110,AMRO,1272-43110,X,WR
1272-43111,AMRO,1272-43111,OP,X
1272-43114,AMRO,1272-43114,P,XB
1272-43115,AMRO,1272-43115,WP,X
1272-43116,AMRO,1272-43116,GP,X
1272-43117,AMRO,1272-43117,PX,P
1272-43118,AMRO,1272-43118,PY,X
1272-43119,AMRO,1272-43119,PG,X
1272-43120,AMRO,1272-43120,XP,B
1272-43121,AMRO,1272-43121,RP,X
1272-43122,AMRO,1272-43122,P,GX
1272-43123,AMRO,1272-43123,XP,O
1272-43124,AMRO,1272-43124,P,PX
1272-43125,AMRO,1272-43125,P,PX
1272-43126,AMRO,1272-43126,P,XY
1272-43127,AMRO,1272-43127,PX,M
1272-43128,AMRO,1272-43128,XP,Y
1272-43129,AMRO,1272-43129,G,X
1272-43130,AMRO,1272-43130,P,XR
1272-43131,AMRO,1272-43131,P,YX
1272-43132,AMRO,1272-43132,P,XG
1272-43134,AMRO,1272-43134,XP,W
1272-43135,AMRO,1272-43135,GX,Y
1272-43136,AMRO,1272-43136,XP,P
1272-43137,AMRO,1272-43137,YY,YX
1272-43138,AMRO,1272-43138,X,YP
1272-43139,AMRO,1272-43139,XW,P
1272-43140,AMRO,1272-43140,BX,P
1272-43142,AMRO,1272-43142,XR,P
1272-43143,AMRO,1272-43143,GX,P
1272-43144,AMRO,1272-43144,Y,X
