site,date,observerEnc,encounterType,bandNumber,rsLong,rsLat
BENNBILMA1,7/14/2014,NA,Resight-participant,269087718,NA,NA
CLAYBRYMA1,7/16/2014,NA,Resight-participant,269087917,NA,NA
BENNBILMA1,7/18/2014,NA,Resight-participant,265117145,NA,NA
GRIFRACMA1,7/19/2014,NA,Resight-participant,189111072,NA,NA
GRIFRACMA1,7/19/2014,NA,Resight-participant,121236664,NA,NA
BENNBILMA1,7/20/2014,NA,Resight-participant,237104391,NA,NA
BENNBILMA1,7/20/2014,NA,Resight-participant,273027524,NA,NA
KINGDAVMA1,7/31/2014,NA,Resight-technician,256186691,NA,NA
KINGDAVMA1,7/31/2014,NA,Resight-participant,256186691,NA,NA
KINGDAVMA1,7/31/2014,NA,Resight-participant,269087759,NA,NA
BENNBILMA1,8/1/2014,NA,Resight-participant,273027523,NA,NA
BRIDNATMA1,8/2/2014,NA,Resight-technician,266085449,NA,NA
AKREMIKMA2,8/9/2014,NA,Resight-participant,264185659,NA,NA
AKREMIKMA2,8/9/2014,NA,Resight-participant,269106136,NA,NA
AKREMIKMA2,8/9/2014,NA,Resight-participant,269106139,NA,NA
BENNBILMA1,8/9/2014,NA,Resight-participant,273027525,NA,NA
AKREMIKMA2,8/10/2014,NA,Resight-participant,269106140,NA,NA
BENNBILMA1,8/10/2014,NA,Resight-participant,273027526,NA,NA
MERIMARMA1,8/12/2014,NA,Resight-participant,269087789,NA,NA
KINGGEOMA1,8/14/2014,NA,Resight-participant,269087899,NA,NA
HAMMSHIMA1,8/24/2014,NA,Resight-participant,272099587,-72.6506,42.321529
BENNBILMA1,8/26/2014,NA,Resight-participant,265117146,NA,NA
BENNBILMA1,9/19/2014,NA,Resight-participant,265117146,NA,NA
BENNBILMA1,9/19/2014,NA,Resight-participant,269087833,NA,NA
BENNBILMA1,9/28/2014,NA,Resight-participant,273027526,NA,NA
DOPLJANMA1,9/28/2014,NA,Resight-participant,269087755,NA,NA
DOPLJANMA1,10/1/2014,NA,Resight-participant,269087755,NA,NA
BENNBILMA1,10/12/2014,NA,Resight-participant,269087833,NA,NA
BENNBILMA1,10/12/2014,NA,Resight-participant,273027522,NA,NA
