hub,site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,featherID,attachmentID,rsLong,rsLat,notesEnc
Springfield,LATHJANMA1,7/12/2012,,Band,BCCH,2690-87937,"G/P,A",SY,F,BP,NULL,11.14,65,60,17.4,NULL,,,, 
Springfield,BENNBILMA1,7/12/2012,,Band,BCCH,2690-87834,"O,W/A",HY,U,J,NULL,11,65,60,16.3,NULL,,,, 
Springfield,BENNBILMA1,7/12/2012,,Band,BCCH,2690-87833,"W/P,A",AHY,M,CP,NULL,10,64,60,15.5,NULL,,,, 
Springfield,BENNBILMA1,7/12/2012,,Band,NOCA,1891-11021,"BK,A/BU",AHY,M,CP,NULL,43,92,96,23.3,NULL,,,, 
Springfield,SURNSCOMA1,7/13/2012,,Band,AMRO,1212-36674,"A/O,Y",AHY,M,CP,NULL,76.47,126,96,34,NULL,,,, 
Springfield,BESWMICMA1,7/13/2012,,Band,GRCA,1891-11022,"BU,R/A",AHY,M,CP,NULL,36,90,95,28.2,NULL,,,, 
Springfield,SLONJOHMA1,7/14/2012,,Band,BCCH,2690-87939,"A/BU,G",AHY,M,CP,NULL,11.66,65,65,16.3,NULL,,,, 
Springfield,SLONJOHMA1,7/14/2012,,Band,BCCH,2690-87941,"P/A,P",SY,M,CP,NULL,11.81,67,68,16.6,NULL,,,, 
Springfield,SLONJOHMA1,7/14/2012,,Band,BCCH,2690-87938,"R/R,A",SY,F,BP,NULL,10.41,67,60,16.8,NULL,,,, 
Springfield,SLONJOHMA1,7/14/2012,,Band,GRCA,2531-91144,"A,O/Y",AHY,M,CP,NULL,35.8,91,91,27,NULL,,,, 
Springfield,SLONJOHMA1,7/14/2012,,Band,GRCA,2531-91143,"A/W,W",AHY,M,CP,NULL,32.26,91,94,28.3,NULL,,,, 
Springfield,ROSEJOSMA1,7/15/2012,,Band,CARW,2571-83011,"Y,A/G",HY,U,J,NULL,19.25,56,47,22.5,NULL,,,, 
Springfield,SURNSANMA1,7/15/2012,,Band,GRCA,1891-11023,"G,Y/A",AHY,M,CP,NULL,41,97,101,28.6,NULL,,,, 
Springfield,SURNSANMA1,7/15/2012,,Band,HOWR,2690-87836,"A/PU,O",AHY,M,CP,NULL,10,49,40,18.8,NULL,,,, 
Springfield,SURNSANMA1,7/15/2012,,Band,HOWR,2690-87836,"P/A,O",AHY,M,CP,NULL,10,49,40,18.8,NULL,,,, 
Springfield,BLONDAVMA1,7/16/2012,,Band,AMRO,1212-36648,"P/BU,A",SY,M,CP,NULL,68,125,96,32,NULL,,,, 
Springfield,SVECSTEMA1,7/17/2012,,Band,BCCH,2690-87943,"W,A/Y",AHY,F,BP,NULL,9.71,65,60,16.6,NULL,,,, 
Springfield,SVECSTEMA1,7/17/2012,,Band,BCCH,2690-87942,"W,A/BU",AHY,F,BP,NULL,10.22,66,59,17.1,NULL,,,, 
